Phi1	Phi	Phi2	X	Y
2.69073	2.10638	5.88107	0	0
2.68657	2.10628	5.87973	2	0
1.57735	2.70847	5.69324	4	0
1.57967	2.71256	5.69333	6	0
1.61016	1.93636	3.48695	8	0
1.61496	1.93863	3.48964	10	0
1.61535	1.9345	3.48979	12	0
1.61711	1.93522	3.4873	14	0
1.61599	1.93575	3.48773	16	0
1.61531	1.93593	3.48482	18	0
1.61276	1.93269	3.48389	20	0
1.62337	1.93342	3.48693	22	0
1.61171	1.93528	3.48524	24	0
1.62362	1.93838	3.49176	26	0
1.61041	1.94149	3.48432	28	0
5.70321	1.15362	1.21099	30	0
5.68471	1.13961	1.21042	32	0
3.98307	1.24135	5.1453	34	0
5.66699	1.12933	1.21563	36	0
5.69422	1.14834	1.21291	38	0
4.06339	1.16839	2.61338	40	0
4.07313	1.17686	2.61984	42	0
4.05686	1.18348	2.63018	44	0
4.0604	1.17931	2.61881	46	0
4.06686	1.17973	5.76027	48	0
4.06348	1.18532	2.61714	50	0
4.06508	1.18236	5.75947	52	0
1.58708	2.29353	2.03036	54	0
1.58148	2.29726	2.03196	56	0
1.59503	2.28893	3.60403	58	0
4.40882	1.723	6.15284	60	0
5.17047	0.20518	2.39402	62	0
4.40874	1.72427	6.15462	64	0
0.28694	1.44747	1.73326	66	0
0.28202	1.44949	1.74064	68	0
0.28196	1.45218	1.73568	70	0
0.28084	1.44827	1.73949	72	0
0.2846	1.45054	1.73657	74	0
0.28724	1.45361	1.73825	76	0
0.28488	1.45217	1.73857	78	0
0.28704	1.45599	1.73801	80	0
0.28606	1.45215	1.73658	82	0
0.28374	1.45167	1.73735	84	0
1.3518	2.93833	5.78032	86	0
2.93043	1.28635	2.83651	88	0
2.92543	1.29054	2.83597	90	0
2.92971	1.28603	2.83593	92	0
2.92657	1.28846	2.83474	94	0
2.92835	1.28531	2.83542	96	0
2.92516	1.29055	2.83633	98	0
2.93016	1.2871	2.83627	100	0
2.92813	1.28554	2.83537	102	0
2.9243	1.29049	2.83561	104	0
2.92812	1.28681	2.83558	106	0
2.9291	1.28743	2.83575	108	0
5.93824	1.58016	1.27318	110	0
4.37361	1.27242	4.69643	112	0
4.37467	1.27404	4.69972	114	0
4.37507	1.27474	4.70158	116	0
5.94244	1.58047	4.41652	118	0
4.37696	1.27999	4.70517	120	0
4.37918	1.28233	4.69727	122	0
0.99507	2.1789	4.23016	124	0
0.18803	1.6548	1.78271	126	0
3.33141	1.47714	6.06976	128	0
0.19664	1.66384	1.78493	130	0
0.18359	1.65595	1.78978	132	0
4.12189	1.56055	3.42156	134	0
0.98389	1.57485	1.29211	136	0
0.9813	1.57286	1.28579	138	0
4.12051	1.56943	4.99776	140	0
2.55547	0.27618	3.1426	142	0
2.5456	0.28561	3.14723	144	0
4.11841	1.56048	5.00143	146	0
4.07414	1.47162	5.07751	148	0
4.09829	1.46859	5.07584	150	0
4.09458	1.47158	5.08087	152	0
4.09656	1.46803	5.08127	154	0
4.08745	1.46705	5.09072	156	0
5.257	1.55672	5.27262	158	0
0.54351	1.01665	1.55783	160	0
1.17465	2.15176	2.49285	162	0
4.27274	1.00317	2.25559	164	0
4.28776	0.99581	5.39144	166	0
4.2983	0.98826	2.25265	168	0
4.2504	0.98331	2.26825	170	0
0.51475	2.57497	4.69683	172	0
0.51514	2.58265	4.68405	174	0
0.5156	2.58216	4.68288	176	0
0.5221	2.58553	4.68909	178	0
0.52681	2.58044	4.6917	180	0
0.51598	2.58551	4.68598	182	0
0.51806	2.57816	4.68463	184	0
0.51545	2.57958	4.69849	186	0
0.52338	2.58152	4.70374	188	0
0.53217	1.00729	1.56978	190	0
0.53755	1.00562	1.56354	192	0
2.68866	2.10401	5.87773	0	2
2.6859	2.10725	5.87729	2	2
2.67975	2.10631	5.87543	4	2
2.67691	2.10864	5.87248	6	2
1.60881	1.93594	3.49386	8	2
1.60872	1.9362	3.49065	10	2
1.61032	1.93244	3.48868	12	2
6.1982	1.89368	4.32773	14	2
1.61693	1.93461	3.48872	16	2
1.61617	1.92998	3.48694	18	2
1.62002	1.93551	3.48532	20	2
1.61495	1.93321	3.48448	22	2
1.61545	1.93386	3.48866	24	2
1.61876	1.93707	3.48707	26	2
5.69147	1.14257	1.20861	28	2
5.69578	1.14997	1.21149	30	2
5.69353	1.14231	1.21319	32	2
5.69782	1.15273	1.2115	34	2
5.69821	1.1509	1.20851	36	2
5.68935	1.13717	1.21225	38	2
5.69182	1.14353	1.20754	40	2
3.95324	1.25712	2.03522	42	2
4.04149	1.18931	5.75779	44	2
4.08454	1.1663	5.7522	46	2
4.05533	1.18778	5.76386	48	2
1.5966	2.29376	2.0412	50	2
1.60054	2.2904	2.0352	52	2
1.59963	2.29445	2.03904	54	2
1.60435	2.28943	2.03752	56	2
1.609	2.28569	2.047	58	2
1.60134	2.28639	2.04057	60	2
1.59179	2.29197	2.02695	62	2
1.59049	2.28957	2.02449	64	2
1.59544	2.2877	2.03567	66	2
1.60287	2.29308	2.04994	68	2
0.28934	1.45548	1.74616	70	2
0.28049	1.45164	1.73906	72	2
0.28383	1.455	1.73773	74	2
0.28525	1.45124	1.73728	76	2
0.28841	1.45238	1.73672	78	2
0.28454	1.45143	1.7359	80	2
0.28223	1.45357	1.73483	82	2
0.28681	1.45448	1.73884	84	2
0.27689	1.45731	1.73999	86	2
2.952	1.29345	5.96729	88	2
2.92986	1.28545	2.83476	90	2
2.92945	1.28626	2.83526	92	2
2.92822	1.28529	2.83547	94	2
2.92748	1.28658	2.8365	96	2
2.92536	1.29009	2.83524	98	2
2.93027	1.2869	2.83587	100	2
2.93177	1.2873	2.83596	102	2
2.93064	1.28862	2.8348	104	2
2.93186	1.28609	2.83426	106	2
2.92727	1.28574	2.83625	108	2
2.9244	1.289	2.83704	110	2
5.93305	1.58844	1.26282	112	2
1.22781	1.86764	3.15892	114	2
4.37461	1.27295	4.70344	116	2
5.94968	1.57823	4.42028	118	2
0.97953	2.18238	4.22221	120	2
0.9794	2.18473	4.22699	122	2
4.12239	0.95355	2.0578	124	2
4.14433	0.95068	2.06079	126	2
4.14469	0.95259	2.06968	128	2
4.15301	0.96321	5.2017	130	2
4.15505	0.96042	2.05782	132	2
4.12189	1.56055	3.42156	134	2
0.98114	1.57582	1.29156	136	2
0.9818	1.57364	1.29014	138	2
0.98421	1.57468	1.28766	140	2
2.54845	0.28367	3.14577	142	2
0.98585	1.57289	1.28683	144	2
0.97975	1.57655	1.2853	146	2
1.06202	0.6401	0.7627	148	2
1.91083	2.01896	3.63135	150	2
5.70769	1.20466	1.46287	152	2
4.10265	1.46328	5.06965	154	2
4.08991	1.46426	5.09912	156	2
5.257	1.55672	5.27262	158	2
0.51712	2.58534	4.69418	160	2
0.51467	2.58109	4.68936	162	2
0.51973	2.58336	4.69588	164	2
0.51417	2.58252	4.68805	166	2
0.52322	2.58402	4.69225	168	2
0.5143	2.58419	4.68676	170	2
0.51979	2.58122	4.69026	172	2
0.5179	2.58169	4.68776	174	2
0.51668	2.5839	4.69278	176	2
0.51592	2.58097	4.68846	178	2
0.51629	2.57922	4.68995	180	2
0.51285	2.5818	4.68711	182	2
0.51352	2.58346	4.68493	184	2
0.5134	2.58248	4.69083	186	2
0.51533	2.58194	4.69059	188	2
0.51693	2.57942	4.68808	190	2
0.53232	1.00972	1.56423	192	2
2.68559	2.10163	5.88	0	4
2.68818	2.10144	5.88005	2	4
2.68119	2.10679	5.87767	4	4
1.61429	1.93474	3.48768	6	4
1.6087	1.93414	3.48522	8	4
1.61177	1.93252	3.4931	10	4
1.614	1.9368	3.49283	12	4
1.61063	1.93474	3.49177	14	4
1.61825	1.93237	3.48454	16	4
1.61453	1.93441	3.48853	18	4
1.61556	1.93486	3.48834	20	4
1.61735	1.93008	3.48847	22	4
1.61719	1.93004	3.48733	24	4
1.61246	1.93391	3.48744	26	4
5.68783	1.14286	1.21106	28	4
5.69687	1.14006	1.213	30	4
5.69865	1.1486	1.21552	32	4
5.69492	1.14306	1.21255	34	4
5.69673	1.14831	1.21295	36	4
5.70134	1.15296	1.2111	38	4
5.68975	1.14736	1.21442	40	4
0.82568	1.89098	4.2611	42	4
3.97509	1.24652	2.02528	44	4
1.60011	2.29521	3.61735	46	4
1.601	2.29448	2.03849	48	4
1.60055	2.29358	2.03884	50	4
1.59317	2.29479	2.03312	52	4
1.60989	2.287	2.04806	54	4
1.6094	2.2864	2.04283	56	4
1.60764	2.28769	2.04515	58	4
1.60179	2.28983	2.04317	60	4
1.59155	2.29623	2.04261	62	4
1.58958	2.29573	2.03869	64	4
1.59317	2.29768	2.03447	66	4
1.60232	2.29046	2.04281	68	4
1.6022	2.29108	2.03884	70	4
1.26459	2.93629	5.67903	72	4
0.28243	1.45347	1.73868	74	4
0.28508	1.45016	1.73662	76	4
0.29198	1.45639	1.74013	78	4
0.29254	1.45663	1.74215	80	4
0.2866	1.44925	1.73756	82	4
0.28706	1.45532	1.73829	84	4
0.28069	1.45349	1.73269	86	4
0.27374	1.46017	1.73687	88	4
2.92884	1.28713	2.8364	90	4
2.92935	1.28657	2.8358	92	4
2.9258	1.29005	2.83534	94	4
2.93197	1.28642	2.835	96	4
2.93205	1.28639	2.83734	98	4
2.9308	1.28602	2.83466	100	4
2.92819	1.28551	2.83524	102	4
2.92945	1.28675	2.83548	104	4
