X	Y	E 
0.0	0.0	0.0 
0.0	2.0	0.0 
0.0	4.0	0.0 
0.0	6.0	0.0 
0.0	8.0	0.0 
0.0	10.0	0.0 
0.0	12.0	0.0 
0.0	14.0	0.0 
0.0	16.0	0.0 
0.0	18.0	0.0 
0.0	20.0	0.0 
0.0	22.0	0.0 
0.0	24.0	0.0 
0.0	26.0	0.0 
0.0	28.0	0.0 
0.0	30.0	0.0 
0.0	32.0	0.0 
0.0	34.0	0.0 
0.0	36.0	0.0 
0.0	38.0	0.0 
0.0	40.0	0.0 
0.0	42.0	0.0 
0.0	44.0	0.0 
0.0	46.0	0.0 
0.0	48.0	0.0 
0.0	50.0	0.0 
0.0	52.0	0.0 
0.0	54.0	0.0 
0.0	56.0	0.0 
0.0	58.0	0.0 
0.0	60.0	0.0 
0.0	62.0	0.0 
0.0	64.0	0.0 
0.0	66.0	0.0 
0.0	68.0	0.0 
0.0	70.0	0.0 
0.0	72.0	0.0 
0.0	74.0	0.0 
0.0	76.0	0.0 
0.0	78.0	0.0 
0.0	80.0	0.0 
0.0	82.0	0.0 
0.0	84.0	0.0 
0.0	86.0	0.0 
0.0	88.0	0.0 
0.0	90.0	0.0 
0.0	92.0	0.0 
0.0	94.0	0.0 
0.0	96.0	0.0 
0.0	98.0	0.0 
0.0	100.0	0.0 
0.0	102.0	0.0 
0.0	104.0	0.0 
0.0	106.0	0.0 
0.0	108.0	0.0 
0.0	110.0	0.0 
0.0	112.0	0.0 
0.0	114.0	0.0 
0.0	116.0	0.0 
0.0	118.0	0.0 
0.0	120.0	0.0 
0.0	122.0	0.0 
0.0	124.0	0.0 
0.0	126.0	0.0 
0.0	128.0	0.0 
0.0	130.0	0.0 
0.0	132.0	0.0 
0.0	134.0	0.0 
0.0	136.0	0.0 
0.0	138.0	0.0 
0.0	140.0	0.0 
0.0	142.0	0.0 
0.0	144.0	0.0 
0.0	146.0	0.0 
0.0	148.0	0.0 
0.0	150.0	0.0 
0.0	152.0	0.0 
0.0	154.0	0.0 
0.0	156.0	0.0 
0.0	158.0	0.0 
0.0	160.0	0.0 
0.0	162.0	0.0 
0.0	164.0	0.0 
0.0	166.0	0.0 
0.0	168.0	0.0 
0.0	170.0	0.0 
0.0	172.0	0.0 
0.0	174.0	0.0 
0.0	176.0	0.0 
0.0	178.0	0.0 
0.0	180.0	0.0 
0.0	182.0	0.0 
0.0	184.0	0.0 
0.0	186.0	0.0 
0.0	188.0	0.0 
0.0	190.0	0.0 
0.0	192.0	0.0 
2.0	0.0	0.0 
2.0	2.0	0.9961626776870468 
2.0	4.0	0.4367730226505068 
2.0	6.0	0.2746037289088282 
2.0	8.0	0.4723556630443919 
2.0	10.0	0.40133276493187137 
2.0	12.0	0.8159611179041328 
2.0	14.0	0.0 
2.0	16.0	0.0 
2.0	18.0	0.8734770545383239 
2.0	20.0	0.49526437646289123 
2.0	22.0	0.9701784753036865 
2.0	24.0	2.828882473459091 
2.0	26.0	3.1730737773053166 
2.0	28.0	1.9635222185310237 
2.0	30.0	1.2101687195010893 
2.0	32.0	0.5106182538924854 
2.0	34.0	0.36586786895087553 
2.0	36.0	0.4839323813613011 
2.0	38.0	0.47255813775409905 
2.0	40.0	0.3906006673168386 
2.0	42.0	0.2961475652449539 
2.0	44.0	0.2639782760067385 
2.0	46.0	0.2235882956384388 
2.0	48.0	0.39332456231806634 
2.0	50.0	0.29105159630077065 
2.0	52.0	0.30710937905739844 
2.0	54.0	0.9770316624068489 
2.0	56.0	2.0631554021726846 
2.0	58.0	0.0 
2.0	60.0	1.4500464396446369 
2.0	62.0	3.75 
2.0	64.0	2.7876120272329943 
2.0	66.0	4.375 
2.0	68.0	1.6533894131499036 
2.0	70.0	1.5951082495447655 
2.0	72.0	1.4410512417531829 
2.0	74.0	2.6569876084226567 
2.0	76.0	2.949595165170282 
2.0	78.0	2.4589702512580827 
2.0	80.0	4.318263029860731 
2.0	82.0	3.900253942728485 
2.0	84.0	3.9584266332934783 
2.0	86.0	2.3106194377188674 
2.0	88.0	3.047506022052165 
2.0	90.0	2.239630034994754 
2.0	92.0	1.054063856226669 
2.0	94.0	0.34726505833342647 
2.0	96.0	0.46026539722694465 
2.0	98.0	0.23877356032616057 
2.0	100.0	0.26822572163335195 
2.0	102.0	0.2579540739553913 
