X	Y	phi1	phi	phi2
0.0	0.0	2.69073	2.10638	5.88107
0.0	2.0	2.68866	2.10401	5.87773
0.0	4.0	2.68559	2.10163	5.88
0.0	6.0	2.68589	2.10473	5.87916
0.0	8.0	2.68741	2.1023	5.8776
0.0	10.0	2.67938	2.10612	5.87245
0.0	12.0	2.67859	2.10519	5.87474
0.0	14.0	2.67493	2.10647	5.86855
0.0	16.0	4.02821	1.45077	3.16308
0.0	18.0	4.04045	1.465	3.16926
0.0	20.0	0.89427	1.68783	1.54663
0.0	22.0	0.89508	1.68884	1.54185
0.0	24.0	3.12705	1.82093	5.95443
0.0	26.0	3.13522	1.81877	5.95474
0.0	28.0	3.14824	1.81698	5.96027
0.0	30.0	3.14646	1.81438	5.95778
0.0	32.0	3.13481	1.822	5.95738
0.0	34.0	3.13466	1.82501	5.95614
0.0	36.0	3.13498	1.82186	5.95757
0.0	38.0	3.13254	1.83064	5.95498
0.0	40.0	3.13303	1.83042	5.95492
0.0	42.0	3.13477	1.83095	5.95458
0.0	44.0	3.13267	1.83023	5.95439
0.0	46.0	3.1318	1.8281	5.95327
0.0	48.0	3.13083	1.82674	5.95677
0.0	50.0	3.1267	1.82849	5.95024
0.0	52.0	3.12887	1.82738	5.95022
0.0	54.0	3.12562	1.82608	5.94691
0.0	56.0	2.6846	1.32993	2.70708
0.0	58.0	2.69172	1.32812	2.70529
0.0	60.0	2.69464	1.32573	2.71003
0.0	62.0	1.6041	2.65319	5.24665
0.0	64.0	2.69323	1.32509	2.70975
0.0	66.0	2.69441	1.32495	2.70939
0.0	68.0	2.69137	1.32578	2.71089
0.0	70.0	2.68753	1.32779	2.71377
0.0	72.0	1.60753	2.64925	5.25302
0.0	74.0	2.68783	1.32414	2.71246
0.0	76.0	2.68799	1.32384	2.71163
0.0	78.0	1.58014	2.65386	5.22526
0.0	80.0	2.68668	1.34204	2.70525
0.0	82.0	2.68103	1.33472	2.71063
0.0	84.0	2.67864	1.33467	2.71111
0.0	86.0	1.025	1.79507	1.91565
0.0	88.0	1.02422	1.79071	1.91683
0.0	90.0	1.0248	1.79308	1.92171
0.0	92.0	1.02683	1.79167	1.92343
0.0	94.0	1.02393	1.79202	1.9195
0.0	96.0	1.0232	1.79012	1.91517
0.0	98.0	1.02376	1.79155	1.91965
0.0	100.0	1.02338	1.78954	1.91711
0.0	102.0	1.02115	1.79199	1.92122
0.0	104.0	1.0235	1.79021	1.91922
0.0	106.0	1.02255	1.79241	1.9239
0.0	108.0	1.02298	1.79227	1.91737
0.0	110.0	1.02421	1.78997	1.92171
0.0	112.0	1.02139	1.78988	1.92079
0.0	114.0	1.02186	1.7886	1.92202
0.0	116.0	1.02192	1.79213	1.92191
0.0	118.0	1.02489	1.78739	1.91411
0.0	120.0	4.15858	1.01744	1.93837
0.0	122.0	4.15754	1.01011	1.94403
0.0	124.0	4.15749	1.01553	1.94355
0.0	126.0	4.15618	1.01236	1.94837
0.0	128.0	4.14473	1.01042	1.93905
0.0	130.0	2.43374	2.05093	6.13704
0.0	132.0	2.44128	2.03653	6.13713
0.0	134.0	2.44479	2.03602	6.13848
0.0	136.0	2.44127	2.03653	6.1396
0.0	138.0	2.44616	2.03743	6.14055
0.0	140.0	2.44445	2.03671	6.139
0.0	142.0	2.4437	2.03629	6.13707
0.0	144.0	2.44345	2.03589	6.13754
0.0	146.0	2.44095	2.03361	6.13814
0.0	148.0	2.43973	2.03437	6.13582
0.0	150.0	2.75488	0.48265	2.86021
0.0	152.0	2.75486	0.48591	2.86298
0.0	154.0	2.76457	0.48655	2.85231
0.0	156.0	2.76221	0.49179	2.8521
0.0	158.0	2.76677	0.4917	2.8538
0.0	160.0	0.11861	1.97132	4.2477
0.0	162.0	1.05293	0.60248	0.7571
0.0	164.0	0.1456	1.97479	4.24568
0.0	166.0	0.14509	1.97792	4.2459
0.0	168.0	1.91183	1.99689	3.58382
0.0	170.0	1.90961	1.9951	3.58309
0.0	172.0	1.90709	1.99775	3.57723
0.0	174.0	1.90843	1.9957	3.57682
0.0	176.0	1.91195	1.99607	3.58571
0.0	178.0	1.91531	2.00029	3.58759
0.0	180.0	1.9137	1.99886	3.58492
0.0	182.0	1.91388	1.99566	3.58915
0.0	184.0	1.91418	1.99697	3.58782
0.0	186.0	1.91318	1.99612	3.58523
0.0	188.0	1.91599	1.99766	3.58876
0.0	190.0	1.91095	1.99724	3.58315
0.0	192.0	1.91535	1.99394	3.58716
2.0	0.0	2.68657	2.10628	5.87973
2.0	2.0	2.6859	2.10725	5.87729
2.0	4.0	2.68818	2.10144	5.88005
2.0	6.0	2.68818	2.10274	5.87853
2.0	8.0	2.68232	2.10337	5.87846
2.0	10.0	2.67597	2.10921	5.87206
2.0	12.0	2.67697	2.10725	5.87203
2.0	14.0	4.03217	1.44682	3.16514
2.0	16.0	4.03124	1.45706	3.17451
2.0	18.0	0.89303	1.68496	1.54332
2.0	20.0	0.89386	1.6942	1.53975
2.0	22.0	0.89646	1.69143	1.53746
2.0	24.0	0.9007	1.68988	1.54129
2.0	26.0	3.15149	1.81277	5.96292
2.0	28.0	3.13853	1.83157	5.95642
2.0	30.0	3.13586	1.82817	5.95735
2.0	32.0	3.13617	1.82546	5.95913
2.0	34.0	3.13484	1.822	5.95747
2.0	36.0	3.13294	1.82724	5.9563
2.0	38.0	3.13696	1.82754	5.95962
2.0	40.0	3.13417	1.82598	5.95458
2.0	42.0	3.13278	1.83068	5.95472
2.0	44.0	3.13094	1.83092	5.95371
2.0	46.0	3.13273	1.83017	5.95445
2.0	48.0	3.13386	1.82893	5.95305
2.0	50.0	3.13049	1.83057	5.95574
2.0	52.0	3.12918	1.82784	5.95033
2.0	54.0	3.12579	1.82589	5.94582
2.0	56.0	3.13019	1.82527	5.9483
2.0	58.0	2.67776	1.32674	2.71941
2.0	60.0	2.68952	1.32763	2.71377
2.0	62.0	1.60347	2.65257	5.25121
2.0	64.0	2.694	1.32942	2.71109
2.0	66.0	1.60325	2.65214	5.24614
2.0	68.0	2.69337	1.32492	2.70926
2.0	70.0	2.6904	1.32336	2.71192
2.0	72.0	2.68783	1.32415	2.71248
2.0	74.0	2.68923	1.32453	2.7123
2.0	76.0	1.60707	2.65038	5.25654
2.0	78.0	1.58334	2.65248	5.22956
2.0	80.0	4.76943	0.50346	1.02556
2.0	82.0	4.73305	0.5046	1.0394
2.0	84.0	1.43316	2.76727	6.1941
2.0	86.0	3.09902	1.61176	5.9085
2.0	88.0	3.09906	1.60095	5.90259
2.0	90.0	1.0329	1.79328	1.92254
2.0	92.0	1.02912	1.79686	1.9243
2.0	94.0	1.02471	1.79084	1.92284
2.0	96.0	1.02366	1.79518	1.92536
2.0	98.0	1.02324	1.78993	1.91719
2.0	100.0	1.02354	1.79294	1.92038
2.0	102.0	1.02478	1.79117	1.92704
2.0	104.0	1.02441	1.79161	1.92409
2.0	106.0	1.02153	1.78953	1.91713
2.0	108.0	1.02107	1.79183	1.9212
2.0	110.0	1.02123	1.79257	1.92019
2.0	112.0	1.02244	1.78916	1.91853
2.0	114.0	1.02345	1.79006	1.91943
2.0	116.0	1.0219	1.79149	1.92113
2.0	118.0	1.02476	1.78788	1.91902
2.0	120.0	4.14221	1.00996	1.95709
2.0	122.0	4.14221	1.00996	1.95709
2.0	124.0	4.15726	1.01583	1.94401
2.0	126.0	4.13866	1.02018	1.94445
2.0	128.0	4.55698	0.8804	1.94079
2.0	130.0	2.43573	2.04291	6.13803
2.0	132.0	2.43728	2.03919	6.13657
2.0	134.0	2.44462	2.0374	6.13958
2.0	136.0	2.4439	2.03589	6.13716
2.0	138.0	2.44251	2.03686	6.13649
2.0	140.0	2.44574	2.03828	6.14078
2.0	142.0	2.44256	2.03836	6.13946
2.0	144.0	2.44335	2.03585	6.1374
2.0	146.0	2.75564	0.48628	2.86256
2.0	148.0	2.44236	2.03808	6.13906
2.0	150.0	2.44331	2.03558	6.13719
2.0	152.0	2.75966	0.48532	2.85886
2.0	154.0	2.76264	0.48601	2.85631
2.0	156.0	2.76301	0.48905	2.85768
2.0	158.0	2.76529	0.4977	2.85302
2.0	160.0	1.04847	0.60307	0.75074
2.0	162.0	0.15037	1.97515	4.24938
2.0	164.0	1.05295	0.60261	0.75721
2.0	166.0	1.91056	1.99322	3.58496
2.0	168.0	0.14735	1.97435	4.24662
2.0	170.0	1.90876	1.99654	3.58015
2.0	172.0	1.90791	1.99574	3.57923
2.0	174.0	1.91375	1.99486	3.58726
2.0	176.0	1.90597	1.99709	3.57834
2.0	178.0	1.91525	2.00071	3.58818
2.0	180.0	1.91699	1.99859	3.59001
2.0	182.0	1.91249	1.99925	3.58454
2.0	184.0	1.91709	1.99885	3.59255
2.0	186.0	1.91591	1.99768	3.59186
2.0	188.0	1.91518	1.9966	3.59192
2.0	190.0	1.91498	1.99733	3.59411
2.0	192.0	1.91535	1.99394	3.58716
4.0	0.0	1.57735	2.70847	5.69324
4.0	2.0	2.67975	2.10631	5.87543
4.0	4.0	2.68119	2.10679	5.87767
4.0	6.0	2.68592	2.10553	5.8777
4.0	8.0	2.67484	2.108	5.8698
4.0	10.0	2.67681	2.11239	5.87083
4.0	12.0	4.03001	1.45475	3.1716
4.0	14.0	0.89395	1.68396	1.54243
4.0	16.0	0.89722	1.68562	1.54712
4.0	18.0	0.89199	1.68599	1.5423
4.0	20.0	0.89611	1.68776	1.53267
4.0	22.0	0.89205	1.69614	1.53774
4.0	24.0	0.89734	1.69106	1.5354
4.0	26.0	1.64733	1.2569	2.87448
4.0	28.0	1.64208	1.25918	2.87549
4.0	30.0	3.13867	1.8302	5.95739
4.0	32.0	3.13611	1.83167	5.95525
4.0	34.0	3.13253	1.82183	5.95851
4.0	36.0	3.14031	1.82113	5.95714
4.0	38.0	3.13452	1.82532	5.95672
4.0	40.0	3.13668	1.82513	5.95537
4.0	42.0	3.13652	1.83123	5.95554
4.0	44.0	3.13049	1.83133	5.95671
4.0	46.0	3.13	1.83105	5.95483
4.0	48.0	3.13314	1.83071	5.95568
4.0	50.0	3.13098	1.8295	5.95357
4.0	52.0	3.13125	1.82968	5.95327
4.0	54.0	3.12688	1.82833	5.95038
4.0	56.0	3.13014	1.82441	5.94543
4.0	58.0	2.6885	1.33331	2.71331
4.0	60.0	2.68312	1.328	2.70561
4.0	62.0	2.68995	1.32792	2.71101
4.0	64.0	2.68784	1.32552	2.71303
4.0	66.0	1.60211	2.65369	5.2494
4.0	68.0	2.68658	1.32477	2.7142
4.0	70.0	2.68747	1.32433	2.71415
4.0	72.0	1.606	2.65084	5.25611
4.0	74.0	2.68741	1.32955	2.70522
4.0	76.0	1.5929	2.64452	3.67327
4.0	78.0	1.58364	2.65025	5.23489
4.0	80.0	4.66773	0.46487	1.06172
4.0	82.0	1.56016	1.19866	3.08901
4.0	84.0	3.10983	1.61944	5.90945
4.0	86.0	3.10538	1.61895	5.90837
4.0	88.0	3.10271	1.61415	5.90703
4.0	90.0	3.10346	1.61438	5.90486
4.0	92.0	3.10482	1.60974	5.90453
4.0	94.0	1.03122	1.79422	1.92118
4.0	96.0	1.0269	1.79357	1.92449
4.0	98.0	1.02544	1.79225	1.92494
4.0	100.0	1.02334	1.79028	1.91905
4.0	102.0	1.02274	1.78967	1.91824
4.0	104.0	1.02422	1.79461	1.92585
4.0	106.0	1.02389	1.79001	1.91877
4.0	108.0	1.02352	1.7901	1.91677
4.0	110.0	1.02114	1.78915	1.91742
4.0	112.0	1.02492	1.79465	1.92641
4.0	114.0	1.02276	1.7941	1.92236
4.0	116.0	1.02308	1.79415	1.92286
4.0	118.0	1.02152	1.79483	1.92737
4.0	120.0	1.01914	1.78804	1.92104
4.0	122.0	4.55538	0.8768	1.93776
4.0	124.0	4.57204	0.87833	1.93291
4.0	126.0	4.56279	0.88545	1.94171
4.0	128.0	4.56779	0.87716	1.93193
4.0	130.0	4.56634	0.88656	1.93703
4.0	132.0	2.43903	2.04125	6.13732
4.0	134.0	2.74563	0.49232	2.87152
4.0	136.0	2.44401	2.03921	6.14191
4.0	138.0	2.4419	2.03718	6.13546
4.0	140.0	2.4423	2.03435	6.13978
4.0	142.0	2.44116	2.04077	6.13668
4.0	144.0	2.44312	2.03677	6.13872
4.0	146.0	2.44023	2.0339	6.13557
4.0	148.0	2.75985	0.48691	2.85307
4.0	150.0	2.44158	2.03364	6.14004
4.0	152.0	2.43845	2.03337	6.14051
4.0	154.0	2.44387	2.03573	6.13909
4.0	156.0	2.43897	2.03683	6.13445
4.0	158.0	2.75163	0.48839	2.86543
4.0	160.0	5.05943	1.15228	2.68889
4.0	162.0	1.92491	1.98741	3.59541
4.0	164.0	1.91858	1.99939	3.59361
4.0	166.0	1.91249	1.99859	3.582
4.0	168.0	1.90825	1.99582	3.57978
4.0	170.0	0.14708	1.96295	4.24529
4.0	172.0	1.90746	1.9975	3.57803
4.0	174.0	1.908	1.99616	3.58021
4.0	176.0	1.91375	1.99581	3.58466
4.0	178.0	1.91035	1.99747	3.58002
4.0	180.0	1.90602	1.99433	3.57695
4.0	182.0	1.91353	1.99837	3.58875
4.0	184.0	1.91112	1.99652	3.5828
4.0	186.0	1.91462	1.99582	3.58848
4.0	188.0	1.91488	1.99779	3.59211
4.0	190.0	1.91271	1.99619	3.59297
4.0	192.0	1.91599	1.99766	3.58876
6.0	0.0	1.57967	2.71256	5.69333
6.0	2.0	2.67691	2.10864	5.87248
6.0	4.0	1.61429	1.93474	3.48768
6.0	6.0	2.68056	2.10931	5.86863
6.0	8.0	5.60783	1.55484	3.01725
6.0	10.0	0.89311	1.69508	1.54308
6.0	12.0	0.8944	1.68444	1.53928
6.0	14.0	0.89675	1.68922	1.55109
6.0	16.0	0.89272	1.687	1.53836
6.0	18.0	0.89072	1.68789	1.5388
6.0	20.0	0.89609	1.68835	1.5438
6.0	22.0	0.89328	1.6928	1.53125
6.0	24.0	0.89587	1.69536	1.53716
6.0	26.0	0.89339	1.68782	1.54392
6.0	28.0	1.64488	1.25333	2.87583
6.0	30.0	1.65399	1.2618	2.86938
6.0	32.0	3.14621	1.80988	5.96257
6.0	34.0	3.13035	1.83215	5.95597
6.0	36.0	3.14173	1.81109	5.95691
6.0	38.0	3.13676	1.82774	5.9588
6.0	40.0	3.1328	1.82825	5.95567
6.0	42.0	3.13236	1.8254	5.95598
6.0	44.0	3.12978	1.82881	5.95553
6.0	46.0	3.13442	1.8288	5.95367
6.0	48.0	3.13031	1.82785	5.95638
6.0	50.0	3.13174	1.82779	5.95606
6.0	52.0	3.13379	1.832	5.95362
6.0	54.0	3.13085	1.82958	5.95031
6.0	56.0	3.12759	1.83166	5.95469
6.0	58.0	2.69505	1.32934	2.70952
6.0	60.0	2.69002	1.33333	2.71308
6.0	62.0	2.68572	1.32763	2.71219
6.0	64.0	2.69076	1.32643	2.71303
6.0	66.0	2.68792	1.32411	2.71276
6.0	68.0	2.688	1.32402	2.71273
6.0	70.0	1.60496	2.65256	5.2554
6.0	72.0	2.69158	1.3181	2.70777
6.0	74.0	1.5987	2.64522	3.67626
6.0	76.0	4.77349	0.50667	1.01926
6.0	78.0	2.67656	1.34056	5.84795
6.0	80.0	1.56301	1.19747	3.08965
6.0	82.0	1.5583	1.19795	3.08918
6.0	84.0	3.10979	1.61585	5.90876
6.0	86.0	3.10831	1.61683	5.90926
6.0	88.0	3.10803	1.61659	5.90772
6.0	90.0	3.10714	1.61588	5.90902
6.0	92.0	3.10325	1.61296	5.90754
6.0	94.0	1.0302	1.79383	1.92381
6.0	96.0	1.0316	1.79684	1.92113
6.0	98.0	1.02489	1.78983	1.91653
6.0	100.0	1.02273	1.79217	1.91942
6.0	102.0	1.0235	1.79317	1.91798
6.0	104.0	1.02367	1.79575	1.92424
6.0	106.0	1.0254	1.79247	1.92804
6.0	108.0	1.02323	1.79008	1.91999
6.0	110.0	1.02301	1.7955	1.92426
6.0	112.0	1.02316	1.79215	1.9176
6.0	114.0	1.02055	1.78887	1.91945
6.0	116.0	1.02946	1.79345	1.92707
6.0	118.0	3.24372	1.84816	5.43636
6.0	120.0	4.5538	0.87892	1.94471
6.0	122.0	4.57843	0.88426	1.92715
6.0	124.0	4.56458	0.88057	1.93355
6.0	126.0	4.56185	0.87854	1.93369
6.0	128.0	4.56525	0.88148	1.93594
6.0	130.0	4.56927	0.88147	1.93575
