phi1,phi,phi2,X,Y,IQ
3.20856,3.0361,3.52897,0.0,0.0,60
3.20856,3.0361,3.52897,0.0,1.0,60
3.20856,3.0361,3.52897,0.0,2.0,60
3.20856,3.0361,3.52897,0.0,3.0,60
3.20856,3.0361,3.52897,0.0,4.0,60
3.20856,3.0361,3.52897,0.0,5.0,60
3.20856,3.0361,3.52897,0.0,6.0,60
3.20856,3.0361,3.52897,0.0,7.0,60
3.37422,0.77228,5.85051,0.0,8.0,60
3.37422,0.77228,5.85051,0.0,9.0,60
3.37422,0.77228,5.85051,0.0,10.0,60
3.37422,0.77228,5.85051,0.0,11.0,60
3.37422,0.77228,5.85051,0.0,12.0,60
6.25311,2.11278,0.66487,0.0,13.0,60
3.20856,3.0361,3.52897,0.0,14.0,60
3.20856,3.0361,3.52897,0.0,15.0,60
3.20856,3.0361,3.52897,0.0,16.0,60
3.20856,3.0361,3.52897,0.0,17.0,60
3.20856,3.0361,3.52897,0.0,18.0,60
3.20856,3.0361,3.52897,0.0,19.0,60
3.20856,3.0361,3.52897,0.0,20.0,60
3.20856,3.0361,3.52897,0.0,21.0,60
3.20856,3.0361,3.52897,0.0,22.0,60
3.20856,3.0361,3.52897,0.0,23.0,60
3.20856,3.0361,3.52897,0.0,24.0,60
6.25311,2.11278,0.66487,0.0,25.0,60
6.25311,2.11278,0.66487,0.0,26.0,60
0.3691,1.3971,3.16785,0.0,27.0,60
0.3691,1.3971,3.16785,0.0,28.0,60
0.3691,1.3971,3.16785,0.0,29.0,60
0.3691,1.3971,3.16785,0.0,30.0,60
0.3691,1.3971,3.16785,0.0,31.0,60
0.3691,1.3971,3.16785,0.0,32.0,60
0.96945,2.18543,5.2188,0.0,33.0,60
0.96945,2.18543,5.2188,0.0,34.0,60
0.96945,2.18543,5.2188,0.0,35.0,60
0.96945,2.18543,5.2188,0.0,36.0,60
0.96945,2.18543,5.2188,0.0,37.0,60
0.96945,2.18543,5.2188,0.0,38.0,60
3.20856,3.0361,3.52897,0.0,39.0,60
3.20856,3.0361,3.52897,0.0,40.0,60
3.20856,3.0361,3.52897,1.0,0.0,60
3.20856,3.0361,3.52897,1.0,1.0,60
3.20856,3.0361,3.52897,1.0,2.0,60
3.20856,3.0361,3.52897,1.0,3.0,60
3.20856,3.0361,3.52897,1.0,4.0,60
3.20856,3.0361,3.52897,1.0,5.0,60
3.20856,3.0361,3.52897,1.0,6.0,60
3.20856,3.0361,3.52897,1.0,7.0,60
3.20856,3.0361,3.52897,1.0,8.0,60
3.20856,3.0361,3.52897,1.0,9.0,60
3.20856,3.0361,3.52897,1.0,10.0,60
3.20856,3.0361,3.52897,1.0,11.0,60
3.20856,3.0361,3.52897,1.0,12.0,60
3.20856,3.0361,3.52897,1.0,13.0,60
3.20856,3.0361,3.52897,1.0,14.0,60
3.20856,3.0361,3.52897,1.0,15.0,60
3.20856,3.0361,3.52897,1.0,16.0,60
3.20856,3.0361,3.52897,1.0,17.0,60
3.20856,3.0361,3.52897,1.0,18.0,60
3.20856,3.0361,3.52897,1.0,19.0,60
3.20856,3.0361,3.52897,1.0,20.0,60
3.20856,3.0361,3.52897,1.0,21.0,60
3.20856,3.0361,3.52897,1.0,22.0,60
3.20856,3.0361,3.52897,1.0,23.0,60
0.44925,0.54098,2.15558,1.0,24.0,60
0.44925,0.54098,2.15558,1.0,25.0,60
6.25311,2.11278,0.66487,1.0,26.0,60
0.3691,1.3971,3.16785,1.0,27.0,60
0.3691,1.3971,3.16785,1.0,28.0,60
0.3691,1.3971,3.16785,1.0,29.0,60
0.3691,1.3971,3.16785,1.0,30.0,60
0.3691,1.3971,3.16785,1.0,31.0,60
0.3691,1.3971,3.16785,1.0,32.0,60
0.3691,1.3971,3.16785,1.0,33.0,60
0.3691,1.3971,3.16785,1.0,34.0,60
0.3691,1.3971,3.16785,1.0,35.0,60
0.3691,1.3971,3.16785,1.0,36.0,60
0.3691,1.3971,3.16785,1.0,37.0,60
0.3691,1.3971,3.16785,1.0,38.0,60
0.3691,1.3971,3.16785,1.0,39.0,60
3.20856,3.0361,3.52897,1.0,40.0,60
3.20856,3.0361,3.52897,2.0,0.0,60
3.20856,3.0361,3.52897,2.0,1.0,60
3.20856,3.0361,3.52897,2.0,2.0,60
3.20856,3.0361,3.52897,2.0,3.0,60
3.20856,3.0361,3.52897,2.0,4.0,60
3.20856,3.0361,3.52897,2.0,5.0,60
3.20856,3.0361,3.52897,2.0,6.0,60
3.20856,3.0361,3.52897,2.0,7.0,60
